"Id","X1","X2","X3","X4","X5","X6","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2"
"a2c83973-8e81-45c9-bb84-37fa8a8b637c",0.722231606736915,0.273869040301699,0.00389728442366128,3.73059956723723e-07,2.69554943622502e-09,1.69278221824289e-06,0.754,0.222,0.016,0.002,0,0.006,0.999913395232126,8.66047678737582e-05,2.44116771609452e-19,1.88618472321676e-18,3.03539901033022e-26,1.6932728257427e-21
"78bca2d4-8824-45ed-80c9-72ef0e4389c6",0.000397734080296544,0.0142910102082491,0.0770061665825949,0.883840270349906,0.00471682075862384,0.0197479980203291,0.022,0.148,0.06,0.736,0,0.034,2.68905822020848e-30,2.08626075612111e-13,2.66275608608584e-08,0.99999997337223,6.29604532234854e-17,1.21648806701704e-17
"69fc99e5-a555-4b3e-a2e2-6c2a4ce45f36",0.0189121034549883,0.0750962764111648,0.665015105018144,0.233247492680042,0.00619952639988904,0.00152949603577177,0.022,0.082,0.604,0.288,0.002,0.002,5.69611433208753e-20,9.66792846075308e-09,0.999043580754427,0.000956409577644603,3.96218417957322e-17,5.28514613065344e-21
"d5d506d9-29bb-404d-9061-3db9ae92d711",0.164778466523928,0.0484617679138735,0.706486823482147,0.0781096631175086,0.0015522352943531,0.000611043668189794,0.082,0.244,0.32,0.134,0.122,0.098,5.33395262060853e-10,0.999961997219617,3.1919356132794e-05,6.0664389426076e-06,5.61687714434965e-11,1.63957432354573e-08
"d0796afc-055d-4ea8-9552-336ad0442de5",0.0963733328293527,0.898290988487137,0.00489542001804912,4.75907159756551e-06,6.66462972174362e-08,0.000435432947566574,0.478,0.356,0.092,0.008,0.03,0.036,0.996341429488697,0.0036585699322513,5.79043244819611e-10,2.47205947633316e-20,1.11243502355046e-20,8.70202323013516e-15
"bac4f77f-433a-4eab-8f51-589fa982ea4e",0.00153857133025153,0.938782817537289,0.00290595347180764,0.0176915827882013,0.00016597438748401,0.0389151004849665,0.122,0.476,0.144,0.142,0.044,0.072,5.44220724613697e-10,0.999999039142762,3.26195514099518e-09,9.51850599024283e-07,1.25813229607661e-10,5.07464948160038e-09
"e9af06c8-8c51-4569-8356-9d79fd24fd3b",0.95451008835906,0.0368448473262836,0.00822906363787791,3.76497980134135e-07,7.33577684753277e-09,0.00041561684302187,0.704,0.204,0.074,0.008,0.004,0.006,0.999989550104288,1.04458517593252e-05,4.04395245957963e-09,9.55101464855193e-18,1.26953854213719e-20,7.52285134408504e-19
"01057fa4-ad6e-4017-aee5-292e8d075f9c",9.36737528497623e-08,0.000924228362945698,0.000388625293958061,0.0268816737612624,0.949667497004954,0.0221378819031268,0,0.032,0.008,0.038,0.694,0.228,8.71991470069685e-27,1.4779313936038e-06,6.466299850317e-18,1.1919242448001e-12,0.990569050446921,0.0094294716204929
"a8701831-47bc-4f30-aae4-8a574ebb731d",0.0199546614122533,0.00720962207852779,0.881558338277697,0.0901809532833277,0.000929127468226639,0.000167297479967672,0.084,0.08,0.604,0.224,0.006,0.002,1.77162976842554e-13,6.75184679780441e-07,0.999932402067611,6.69227475321761e-05,6.96680699601027e-18,2.37526744149878e-18
"69188694-443e-45da-baa5-feee96fd9434",0.000232371845211466,0.0100085177536787,0.0459917927790305,0.920019704967336,0.0216940097436374,0.00205360291110592,0,0.002,0.04,0.954,0.004,0,4.23380348238355e-33,1.30597143871368e-14,1.50847869859724e-07,0.999999849152107,9.68442892483215e-15,1.9574145773712e-20
